2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|    Ersin     |   2   |      500       |
|    lrisk     |   2   |      500       |
|   l icy l    |   2   |      500       |
| Pinky Swear  |   2   |      500       |
|  Dub Illest  |   2   |      500       |
|  Zout Held   |   2   |      500       |
| Eyy Macarena |   2   |      500       |
|  CerealBox   |   2   |      500       |
|  Bongobloke  |   2   |      500       |
| OwO its blek |   2   |      500       |
|  sad boi c   |   2   |      500       |
|   vladimir   |   2   |      500       |
|    Zain M    |   2   |      500       |
|   Samuell    |   2   |      500       |
| stiffingers  |   2   |      500       |
|   Timberz    |   2   |      500       |
|     Ghp      |   2   |      500       |
|    applez    |   2   |      500       |
| Winsome Lad  |   2   |      500       |
|   TonyX69X   |   2   |      500       |
|  Mech Chin   |   2   |      500       |
|   Im Rami    |   2   |      500       |
|    Mheka     |   2   |      500       |
| FreakAthlete |   2   |      500       |
|  Ice Spoon   |   2   |      500       |
|   iTz ReD    |   2   |      500       |
|    Exuke1    |   2   |      500       |
|    Tinky1    |   2   |      500       |
| Soggy Pillow |   2   |      450       |
| Capabiliity  |   2   |      450       |
|    Sidus     |   2   |      420       |
|    Topic     |   2   |      420       |
| Thus I Atone |   2   |      420       |
|   Cardiooo   |   2   |      400       |
|   1337 BTW   |   2   |      400       |
|    shazz     |   2   |      350       |
|   M R O B    |   2   |      300       |
|   Dr Spine   |   2   |      300       |
| Bilbo Bagme  |   2   |      300       |
| [#HU8GVXG54] |   2   |      300       |
| WolfDwnEarth |   2   |      280       |
| Samers FSOA  |   2   |      280       |
|  CurveBoned  |   2   |      280       |
|   TR samer   |   2   |      280       |
|    Palkia    |   2   |      270       |
|   mini ass   |   2   |      260       |
|  PiffScape   |   2   |      260       |
|   Biscuits   |   2   |      250       |
|  Squirtles   |   2   |      250       |
|  Shaneb780   |   2   |      250       |
|  Kevin 502   |   2   |      250       |
|   50 Cent    |   2   |      250       |
| Slim-Jesus97 |   2   |      220       |
|  lil virtus  |   2   |      210       |
| Beastmaster  |   2   |      210       |
|    Kwisty    |   2   |      210       |
|   Afroboy    |   2   |      210       |
|   Racoonz2   |   2   |      210       |
|  Sir Brammy  |   2   |      210       |
|   Sommeil    |   2   |      200       |
|   Roberdon   |   2   |      200       |
|  viktor2015  |   2   |      200       |
|   Nackles    |   2   |      200       |
|    9ckii     |   2   |      200       |
|    skurt     |   2   |      200       |
| I am Araxxor |   2   |      200       |
|   David93    |   2   |      200       |
|  IronOnion   |   2   |      200       |
|    69sec     |   2   |      200       |
|    Pixzle    |   2   |      200       |
|  Iron Basti  |   2   |      200       |
|  Iron Pazu   |   2   |      200       |
| Sin To Spin  |   2   |      200       |
|   BIackout   |   2   |      200       |
| CraziChemist |   2   |      200       |
|  Marco Reu5  |   2   |      200       |
|     B en     |   2   |      200       |
|  Shinetales  |   2   |      200       |
|     ieli     |   2   |      200       |
| Lady Chelsea |   2   |      200       |
| ZaneDhampir  |   2   |      200       |
| Chonky Milo  |   2   |      200       |
| XtraSparkles |   2   |      200       |
|  Ty For Tip  |   2   |      200       |
|   Poot Bow   |   2   |      200       |
| Black ethot  |   2   |      200       |
| Callme_flex  |   2   |      200       |
|   DiddyBop   |   2   |      180       |
|     la i     |   2   |      170       |
| NameCharactr |   2   |      170       |
|    Crikin    |   2   |      170       |
|   Germa 66   |   2   |      170       |
| McRibEnjoyer |   2   |      170       |
|   Mr Rushy   |   2   |      170       |
| Nice Timing  |   2   |      160       |
| solo toaster |   2   |      150       |
| FoxfireAurey |   2   |      150       |
| T0XIC SHADOW |   2   |      130       |
| Mank the Man |   2   |      130       |
| GNOME CHlLD  |   2   |      130       |
|   KiwiChuu   |   2   |      130       |
|    bo0op     |   2   |      130       |
|    Fincho    |   2   |      120       |
|    Roowie    |   2   |      110       |
|  AudioInput  |   2   |      110       |
| FauxNewsFox  |   2   |      110       |
|     Pech     |   2   |      100       |
|    Aziwa     |   2   |      100       |
|  Peterwagen  |   2   |      100       |
|  Molassacre  |   2   |      100       |
|  ToughTony   |   2   |      100       |
| Info Seeker  |   2   |      100       |
|     Alan     |   2   |      100       |
