2023-02-04 13:00:04,764: Total Unique Players: 8447
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
|  Onii Sama   |   24  |      610       |
|    Sc er     |   24  |      4000      |
|    Caphra    |   24  |      4000      |
| xEpic_FailZz |   23  |      300       |
|   kera-kun   |   23  |      500       |
|   Mr Slay    |   23  |      1000      |
|   Stop602    |   23  |      500       |
| King Timaeus |   23  |      4000      |
| WeebWetLips  |   23  |      500       |
|  SuparNova   |   23  |      700       |
|   suugataa   |   23  |      530       |
|  muppmongo   |   23  |      1000      |
|   Shuunsui   |   23  |      1000      |
|  fsoa spec   |   23  |      560       |
|  Ducklings   |   23  |      2020      |
|  WhiteTiger  |   23  |      2000      |
| Remington768 |   23  |      740       |
| Sweet Chilly |   23  |      500       |
|   Zed Raze   |   23  |      500       |
| Kun Fo Panda |   23  |      400       |
|    Doufu     |   23  |      750       |
|  So Wolfey   |   23  |      600       |
|  iamslashy   |   23  |      4000      |
|    Strung    |   23  |      2010      |
|    azzimi    |   23  |      600       |
|    Digits    |   23  |      600       |
|   So Tuna    |   23  |      2069      |
|     FCB      |   23  |      1000      |
|  Dub Illest  |   23  |      500       |
|  TiPtOeWInG  |   23  |      300       |
| xSad Shadow  |   23  |      1000      |
|    Aletia    |   23  |      550       |
| Kitty Treats |   23  |      560       |
|    Mitic     |   23  |      570       |
|    Tobi E    |   23  |      500       |
| Mank the Man |   23  |      540       |
|    Shivz     |   23  |      4020      |
|   shreyas    |   23  |      640       |
|   Maliiii    |   23  |      1000      |
|    iGuish    |   23  |      500       |
|  Fidele2650  |   23  |      800       |
|   Andreew    |   23  |      500       |
|    Onesie    |   23  |      666       |
| Holywarrior  |   22  |      500       |
| Blood Prism  |   22  |      1000      |
|   Yazhgarr   |   22  |      4069      |
|     Laz      |   22  |      1000      |
| Azur3 Slash  |   22  |      4000      |
|   Y0ungDon   |   22  |      1000      |
|  devillonne  |   22  |      520       |
|  wtf pengu   |   22  |      4000      |
|     Sutr     |   22  |      2000      |
|   Ottfan1    |   22  |      1000      |
|   Seahawks   |   22  |      2000      |
|   Mortall    |   22  |      830       |
| Sabre2Tiger  |   22  |      1000      |
|   Endolas    |   22  |      560       |
|  Night Eyes  |   22  |      500       |
|  Destiny Nx  |   22  |      720       |
|   SyriIiic   |   22  |      550       |
|  Nescupcake  |   22  |      500       |
|  Shebloflin  |   22  |      500       |
|  Aurorical   |   22  |      500       |
|   Braaten    |   22  |      4010      |
|  Nils Einar  |   22  |      7610      |
|    Psyduk    |   22  |      1000      |
|    yMagi     |   22  |      830       |
|   Frapple    |   22  |      500       |
|  xElusivex   |   22  |      500       |
|    Seiyav    |   22  |      890       |
| Alpha Check  |   22  |      1000      |
|   Bolseiro   |   22  |      500       |
|   ImAkaShi   |   22  |      1000      |
|    Vijal     |   22  |      530       |
|  KOTP Luffy  |   22  |      500       |
|  Frugal Wiz  |   22  |      501       |
| Golden Alien |   22  |      500       |
|     7VS      |   21  |      500       |
|     ZPvM     |   21  |      500       |
|     Yai      |   21  |      1010      |
|  Merideous   |   21  |      500       |
| LittlePk Br  |   21  |      2069      |
|    Kixtie    |   21  |      4030      |
|    fiili     |   21  |      1000      |
| Sir Derather |   21  |      710       |
|    Haram     |   21  |      4000      |
|    iGUNKi    |   21  |      500       |
|   Sindiro    |   21  |      200       |
|    Kitten    |   21  |      4000      |
|  20 Nuggies  |   21  |      500       |
| Unge Spiller |   21  |      2000      |
|   Joshua B   |   21  |      1000      |
|     PC1      |   21  |      720       |
|   shyamiee   |   21  |      600       |
|  h2rrasm33s  |   21  |      500       |
|  Koivuklapi  |   21  |      4000      |
| FeelsWheelys |   21  |      950       |
|     1peb     |   21  |      1000      |
|     Tack     |   21  |      1000      |
| Riverride925 |   21  |      4000      |
| Death costs  |   21  |      790       |
|    durrs     |   21  |      500       |
|   J oseph    |   21  |      2000      |
|    Tinky1    |   21  |      1000      |
|    Rehan     |   21  |      4080      |
| FREAKY N FAT |   21  |      200       |
|    Virius    |   21  |      2000      |
| PseudoScotty |   21  |      500       |
|  hello bye   |   21  |      4000      |
|    Mu-Ziq    |   21  |      500       |
|     Dmv0     |   21  |      500       |
| duper cheese |   21  |      1000      |
| OMG Its John |   20  |      500       |
|   helektro   |   20  |      1000      |
|  just Zuko   |   20  |      300       |
|  RitualFire  |   20  |      300       |
|    S hadw    |   20  |      4000      |
|     Ghp      |   20  |      4000      |
|   H4nd1cap   |   20  |      4000      |
|   Githoro    |   20  |      1140      |
|   YCRYMORE   |   20  |      780       |
|  Corn Pops   |   20  |      2000      |
|  Decimation  |   20  |      500       |
|   Buenfil    |   20  |      1320      |
|    KevRS     |   20  |      550       |
|  Hi im Suri  |   20  |      530       |
|    Nubbyn    |   20  |      2000      |
|   Got Aim    |   20  |      890       |
| ZwitterIron  |   20  |      550       |
| Angel Elixir |   20  |      310       |
|   Zukd in    |   20  |      1000      |
|  Blakeland   |   20  |      530       |
|  Anima Flow  |   20  |      500       |
|   lil gym    |   20  |      450       |
|   Beta Fox   |   20  |      4000      |
|  OverLord G  |   20  |      900       |
|   ita chi    |   20  |      700       |
| tired of rs7 |   20  |      500       |
| Toxic Luffy  |   20  |      650       |
|    Jharsh    |   20  |      1000      |
| unluckygout  |   20  |      1250      |
|  Holzkiste   |   20  |      1040      |
|    Rrman     |   20  |      840       |
| BeardJustice |   20  |      600       |
|  Lithesome   |   20  |      520       |
| Godheownzzz  |   20  |      500       |
|    Bu3esa    |   20  |      500       |
|   Thok It    |   20  |      940       |
|  Zensithar   |   20  |      1000      |
|     Ab55     |   20  |      1070      |
|    Kiekrz    |   20  |      620       |
|    Hanayk    |   20  |      500       |
|  A New Hope  |   20  |      2000      |
| Witherhoard  |   20  |      200       |
|   Le Soul    |   20  |      4000      |
| Tony Da Tigr |   20  |      550       |
| OwO its blek |   20  |      1000      |
|     Exla     |   20  |      510       |
| khall dr0g0  |   20  |      500       |
|     Jeck     |   20  |      1020      |
|   Midor_i    |   19  |      4000      |
|    DmanXD    |   19  |      200       |
| Begone Thok  |   19  |      500       |
|    Lazir     |   19  |      4000      |
| IronArchive  |   19  |      500       |
|  Moistman5   |   19  |      500       |
|  Kenny2good  |   19  |      2069      |
|  Swift uwu   |   19  |      7680      |
| Jolly Snakes |   19  |      500       |
|   Ten Bag    |   19  |      530       |
|   Justin 0   |   19  |      4021      |
|    Exvier    |   19  |      440       |
|    VEX 92    |   19  |      2000      |
|  Skjelbreid  |   19  |      4020      |
| Dear anyone  |   19  |      2000      |
| IceIce Bobby |   19  |      1000      |
|    Olyyy     |   19  |      200       |
| rsMikeTyson  |   19  |      300       |
|   gian1001   |   19  |      2000      |
| Eyy Macarena |   19  |      900       |
|   SojoBay    |   19  |      600       |
| Last of Gus  |   19  |      4000      |
|   Vordrago   |   19  |      680       |
| DaRk ZaRoSs  |   19  |      500       |
|    Zavje     |   19  |      1000      |
|   Afroboy    |   19  |      770       |
|     Plaz     |   19  |      710       |
| ActupforJoe  |   19  |      700       |
| Team Tukker  |   19  |      1000      |
|  An Strayan  |   19  |      510       |
|  Unit Timmy  |   19  |      500       |
|   The Vini   |   19  |      500       |
|   Sportpix   |   19  |      500       |
|     Diep     |   19  |      2000      |
|    Yoloo     |   19  |      1000      |
|    AISG4     |   19  |      410       |
| Bilbo Bagme  |   19  |      500       |
|   Chipette   |   19  |      2000      |
| JuniorNutNut |   19  |      500       |
| CHICO BALA22 |   19  |      400       |
|    Touhou    |   19  |      300       |
|    Osku7     |   19  |      540       |
| SpRiGgAnGoRe |   19  |      750       |
|  Molassacre  |   19  |      500       |
|    Arwyn     |   19  |      870       |
|  Wha Gwaan   |   19  |      400       |
| Emperor Bozz |   18  |      650       |
|   Caranan    |   18  |      1040      |
| Enemy Inside |   18  |      770       |
|     Grg      |   18  |      1000      |
|   Vivera99   |   18  |      700       |
| nostr def99  |   18  |      540       |
|   Humundy    |   18  |      1000      |
|    Debuff    |   18  |      1150      |
|   DriusNyc   |   18  |      600       |
|  Its Remco   |   18  |      1010      |
| Ningen Black |   18  |      540       |
|  Box Cutter  |   18  |      750       |
|   Maiistro   |   18  |      500       |
|    D ona     |   18  |      4000      |
|    Gonlua    |   18  |      2000      |
| lostandscare |   18  |      770       |
| 77chalk1453  |   18  |      2000      |
|   Floor 23   |   18  |      920       |
| congeminatio |   18  |      500       |
|  Zamoo rak   |   18  |      560       |
|    Darzz     |   18  |      1000      |
|   Wiki Wu    |   18  |      900       |
|   Ravine70   |   18  |      4000      |
| Enrichments  |   18  |      1000      |
| Retired PvP  |   18  |      630       |
|    sizecl    |   18  |      500       |
|  Mr Snoopy   |   18  |      500       |
| Bruzzer Mini |   18  |      780       |
|  playturtle  |   18  |      500       |
|   Aversive   |   18  |      5555      |
| NameCharactr |   18  |      2000      |
| Adrenallynn  |   18  |      1450      |
|     R iN     |   18  |      1000      |
|  Big Wolff   |   18  |      500       |
|   Tiny Cal   |   18  |      300       |
|   disaster   |   18  |      4000      |
|    mionee    |   18  |      4000      |
|   Minstrel   |   18  |      1200      |
|    nahtan    |   18  |      4000      |
|   Xbox Mw3   |   18  |      230       |
|    Zedno     |   18  |      4069      |
|   Poot Bow   |   18  |      300       |
|     Fade     |   18  |      4030      |
|    Koori     |   18  |      4000      |
|   mr marko   |   18  |      1000      |
|  Blyadrick   |   18  |      500       |
|   Lengii21   |   18  |      300       |
|   Laskari2   |   17  |      780       |
|  A Accident  |   17  |      500       |
|   jacky c8   |   17  |      1000      |
| Titanium Log |   17  |      650       |
|    Nami x    |   17  |      4030      |
| JewzillaYUM  |   17  |      4000      |
| Ali Da Jelly |   17  |      500       |
|  Toro Man 9  |   17  |      500       |
|     shwt     |   17  |      511       |
|   M R O B    |   17  |      500       |
|  justacutie  |   17  |      2000      |
|     Bikt     |   17  |      830       |
| Sweaty Betty |   17  |      1000      |
|   Rowan131   |   17  |      500       |
| SmexyLonely  |   17  |      4070      |
| DerBaumhaus  |   17  |      2000      |
|  Miss Kay Z  |   17  |      1000      |
|   ProNyiLL   |   17  |      720       |
|   El Maroc   |   17  |      600       |
|    bp bp     |   17  |      1050      |
